Peak Brightness Date/Time (UT),Altitude (km),Latitude (deg),Longitude (deg),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
10/10/2019 16:16,47.3,44.3N,122.9E,14.0648498,1.5,-5.4,-12.9,2.06E+11,0.57
9/28/2019 10:40,52,12.5S,107.2W,20.37498466,-10.1,13.7,11.2,2.30E+10,0.082
9/27/2019 13:35,31.99166667,25.7N,28.4W,12.80193941,6.825,-7.591666667,7.725,3.40E+10,0.12
9/14/2019 12:39,38,38.6S,33.5W,15.91163097,-12.9,4.6,8.1,1.09E+11,0.33
9/13/2019 2:02,27.4,18.6S,126.9E,13.52405265,5.2,9.5,-8.1,4.20E+10,0.14
9/12/2019 12:49,42,54.5N,9.2E,18.47863631,-18.1,3.7,-0.4,1.69E+11,0.48
9/12/2019 2:34,30.6,24.9N,47.8W,17.17381728,-11.7,4.6,11.7,5.90E+10,0.19
8/24/2019 12:02,39.8,21.9N,130.4W,13.39440182,11.1,5.4,-5.2,4.00E+10,0.13
8/22/2019 21:47,30.2,24.4S,92.9W,12.09783612,-6.616666667,-7.375,6.941666667,2.00E+10,0.073
8/16/2019 20:36,36,38.9N,7.0E,14.88791456,-3.9,-13.8,4,2.50E+10,0.089
7/23/2019 20:42,30.6,44.6N,147.6W,16.14032218,1.5,-5.5,15.1,2.55E+11,0.69
6/30/2019 16:52,59,21.2N,129.5W,42.2536389,25.2,-13.3,31.2,3.20E+10,0.11
6/30/2019 8:11,38.54166667,2.5S,168.7E,16.29440301,7.733333333,9.85,10.425,2.10E+10,0.076
6/22/2019 21:25,25,14.9N,66.2W,14.89328708,-13.4,2.5,6,2.95E+12,6
6/20/2019 6:07,37,7.3N,67.6W,13.78954415,8.191666667,8.725,6.85,2.80E+10,0.098
5/26/2019 10:07,24.4,56.6N,25.3W,17.5296891,3.8,16.1,-5.8,4.20E+10,0.14
5/25/2019 6:44,29.2,19.2S,89.4E,15.84108582,0.2,2.1,-15.7,4.90E+10,0.16
5/22/2019 15:16,32.6,10.8N,37.3W,15.95904045,-8.825,8.858333333,9.916666667,9.50E+10,0.29
5/21/2019 13:21,31.5,38.8S,137.5E,11.51390464,4.4,6.4,-8.5,6.56E+11,1.6
5/19/2019 14:47,33.3,23.6S,132.8E,15.17300234,7.3,5.3,-12.2,3.30E+10,0.11
5/12/2019 22:41,35.54166667,6.2N,57.1W,16.40042344,-12.73333333,-6.483333333,8.05,2.10E+10,0.076
5/4/2019 15:35,26.5,28.4N,88.3W,14.16859546,-6.525,-9.441666667,-8.308333333,2.20E+10,0.079
4/22/2019 21:42,33.3,48.8S,67.8E,11.36661779,3.4,10,-4.2,1.24E+11,0.37
4/14/2019 17:54,30.6,18.3N,74.6W,15.94427797,-2.5,-14.6,5.9,2.90E+10,0.1
4/6/2019 11:59,41.5,56.5N,94.9E,18.11242667,6.2,-12.9,11.1,7.00E+10,0.22
4/4/2019 22:19,34.73333333,35.3N,93.9W,14.7212007,-8.008333333,9.591666667,-7.783333333,2.80E+10,0.098
3/27/2019 12:50,35.60833333,41.8S,7.4W,15.17054895,-5.366666667,-10.1,-9.966666667,2.20E+10,0.079
3/19/2019 2:06,28.7,24.0S,140.3E,16.21604144,10.2,12.6,0.4,2.00E+10,0.073
3/15/2019 12:26,31.5,63.7N,95.7E,14.36279917,5.4,1.7,-13.2,4.60E+10,0.15
2/18/2019 10:00,26,15.5S,25.3E,20.84898079,-16.6,0.6,-12.6,1.96E+12,4.2
2/1/2019 18:17,23.7,22.5N,83.8W,16.32207095,-2.4,8.7,13.6,5.79E+11,1.4
1/29/2019 20:47,34.96666667,16.46209903494268E,56.876409316215806S,15.12046534,-8.291666667,-8,9.791666667,2.50E+10,0.089
1/22/2019 9:18,42.5,18.0N,6.5E,11.56589815,-8.6,5,-5.9,3.60E+10,0.12
12/23/2018 23:38,31.8,47.5S,174.4W,16.50484777,9.9,10.8,7.6,8.90E+10,0.27
12/18/2018 23:48,25.6,56.9N,172.4E,31.9707679,6.3,-31.2,-3,1.30E+14,173
11/20/2018 17:30,27.4,25.3N,6.7W,17.44190357,-10.1,3,13.9,4.22E+11,1.1
11/17/2018 21:48,32.5,47.3N,172.9W,19.08769237,7.6,-2.7,17.3,2.20E+11,0.61
11/15/2018 8:02,33.84166667,42N,57W,14.34060135,-9.216666667,7.15,-8.341666667,2.00E+10,0.073
11/14/2018 4:03,37,37.6S,83.5E,16.54736678,-9.55,7.308333333,-11.36666667,3.80E+10,0.13
10/24/2018 21:19,33.3,6.7S,148.6W,15.60136657,-7.008333333,-11.00833333,-8.55,4.70E+10,0.16
10/22/2018 7:11,37.43333333,169.1912155431681W,7.3721400385793165S,17.69850315,-7.066666667,-6.483333333,14.875,2.60E+10,0.092
10/5/2018 0:27,31.5,39.8S,31.7W,14.71903529,-13.2,-0.4,-6.5,3.80E+10,0.13
9/25/2018 14:10,33,23.5S,56.8E,16.45113978,-16.2,0.6,2.8,8.06E+11,1.9
9/25/2018 0:16,40.7,34.3S,44.9E,12.5499004,-11,-5.5,2.5,5.30E+10,0.17
9/20/2018 18:29,40.56666667,67.3S,75.1E,11.13642672,-5.6,5.5,-7.9,8.30E+10,0.26
9/17/2018 1:08,35.95833333,6.8S,27.8W,15.12673544,-6.033333333,-5.483333333,-12.74166667,1.50E+11,0.43
9/13/2018 0:51,34.15,42.5N,50.1W,15.73731632,9.566666667,-7.241666667,-10.18333333,4.20E+10,0.14
8/27/2018 4:36,33,1.7S,141.4E,16.08601877,9.8,-8.4,-9.6,2.40E+10,0.086
8/21/2018 12:26,37,39.2S,162.9W,13.62979019,7.458333333,-7.3,8.766666667,2.20E+10,0.079
7/27/2018 9:35,32,58.8S,105.8E,14.02879479,9.216666667,-5.541666667,9.008333333,1.05E+11,0.32
7/25/2018 21:55,43.3,76.9N,69.0W,24.43378808,20.4,-3.8,12.9,8.77E+11,2.1
7/17/2018 15:17,38.725,82.5N,136.7W,14.68318435,6.25,-9.925,-8.833333333,2.11E+11,0.59
6/26/2018 17:51,63,32.0N,12.1E,14.10709042,-10,-9.9,-1,2.90E+10,0.1
6/21/2018 1:16,27.2,52.8N,38.1E,14.42047156,-8.9,-10.5,-4.3,1.22E+12,2.8
6/2/2018 16:44,28.7,21.2S,23.3E,16.88135066,0.9,3.9,-16.4,3.75E+11,0.98
5/12/2018 3:26,34,6.5S,173.7E,14.95836351,6.575,-8.841666667,10.11666667,1.93E+11,0.54
5/8/2018 2:27,31.63333333,32N,60.7W,13.07727301,-6.5,7.8,-8.241666667,7.30E+10,0.23
5/3/2018 7:23,39,46.9N,7.5W,11.46908889,1.3,-11.2,-2.1,3.80E+10,0.13
4/30/2018 13:17,34,45.5S,1.4W,13.12211873,8.7,2.5,-9.5,3.00E+10,0.1
4/21/2018 12:06,28.2,59.0S,45.8E,14.60068492,7.1,11.9,-4.6,3.60E+10,0.12
4/19/2018 14:02,30,7.5N,3.6E,20.85713307,-9.1,18.6,-2.5,7.20E+10,0.23
4/19/2018 13:39,31.5,22.2S,72.6E,10.93526406,-5.9,1.4,-9.1,5.12E+11,1.3
4/7/2018 3:05,31.5,72.4N,78.7W,14.74624717,7.633333333,9.391666667,8.425,8.60E+10,0.27
2/21/2018 1:28,31.5,13.5S,37.1W,13.13697073,-0.9,-0.4,13.1,7.10E+10,0.22
2/15/2018 13:38,50.7,43.8S,1.1W,16.34809919,-10.925,9.933333333,-7.016666667,2.70E+10,0.095
2/12/2018 2:15,32,15.9S,58.9W,15.00513801,-8.683333333,8.416666667,8.883333333,3.90E+10,0.13
2/8/2018 22:21,43.5,42.9N,179.7E,11.79302112,-7.7,-6.691666667,-5.916666667,2.59E+11,0.7
2/1/2018 12:21,37,19.4S,104.3E,16.52452722,8.1,-11.7,-8.4,1.90E+11,0.53
