Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
10/10/2019 16:16,44.3N,122.9E,47.3,14.1,1.5,-12.9,-5.4,2.06E+11,0.57
9/28/2019 10:40,12.5S,107.2W,52,20.4,-10.1,11.2,13.7,2.30E+10,0.082
9/14/2019 12:39,38.6S,33.5W,38,15.9,-12.9,8.1,4.6,1.09E+11,0.33
9/13/2019 2:02,18.6S,126.9E,27.4,13.5,5.2,-8.1,9.5,4.20E+10,0.14
9/12/2019 12:49,54.5N,9.2E,42,18.5,-18.1,-0.4,3.7,1.69E+11,0.48
9/12/2019 2:34,24.9N,47.8W,30.6,17.2,-11.7,11.7,4.6,5.90E+10,0.19
8/24/2019 12:02,21.9N,130.4W,39.8,13.4,11.1,-5.2,5.4,4.00E+10,0.13
8/16/2019 20:36,38.9N,7.0E,36,14.9,-3.9,4,-13.8,2.50E+10,0.089
7/23/2019 20:42,44.6N,147.6W,30.6,16.1,1.5,15.1,-5.5,2.55E+11,0.69
6/30/2019 16:52,21.2N,129.5W,59,42.3,25.2,31.2,-13.3,3.20E+10,0.11
6/22/2019 21:25,14.9N,66.2W,25,14.9,-13.4,6,2.5,2.95E+12,6
5/26/2019 10:07,56.6N,25.3W,24.4,17.5,3.8,-5.8,16.1,4.20E+10,0.14
5/25/2019 6:44,19.2S,89.4E,29.2,15.8,0.2,-15.7,2.1,4.90E+10,0.16
5/21/2019 13:21,38.8S,137.5E,31.5,11.5,4.4,-8.5,6.4,6.56E+11,1.6
5/19/2019 14:47,23.6S,132.8E,33.3,15.2,7.3,-12.2,5.3,3.30E+10,0.11
4/22/2019 21:42,48.8S,67.8E,33.3,11.4,3.4,-4.2,10,1.24E+11,0.37
4/14/2019 17:54,18.3N,74.6W,30.6,15.9,-2.5,5.9,-14.6,2.90E+10,0.1
4/6/2019 11:59,56.5N,94.9E,41.5,18.1,6.2,11.1,-12.9,7.00E+10,0.22
3/19/2019 2:06,24.0S,140.3E,28.7,16.2,10.2,0.4,12.6,2.00E+10,0.073
3/15/2019 12:26,63.7N,95.7E,31.5,14.4,5.4,-13.2,1.7,4.60E+10,0.15
2/18/2019 10:00,15.5S,25.3E,26,20.8,-16.6,-12.6,0.6,1.96E+12,4.2
2/1/2019 18:17,22.5N,83.8W,23.7,16.3,-2.4,13.6,8.7,5.79E+11,1.4
1/22/2019 9:18,18.0N,6.5E,42.5,11.6,-8.6,-5.9,5,3.60E+10,0.12
12/23/2018 23:38,47.5S,174.4W,31.8,16.5,9.9,7.6,10.8,8.90E+10,0.27
12/18/2018 23:48,56.9N,172.4E,25.6,32,6.3,-3,-31.2,1.30E+14,173
11/20/2018 17:30,25.3N,6.7W,27.4,17.4,-10.1,13.9,3,4.22E+11,1.1
11/17/2018 21:48,47.3N,172.9W,32.5,19.1,7.6,17.3,-2.7,2.20E+11,0.61
10/5/2018 0:27,39.8S,31.7W,31.5,14.7,-13.2,-6.5,-0.4,3.80E+10,0.13
9/25/2018 14:10,23.5S,56.8E,33,16.5,-16.2,2.8,0.6,8.06E+11,1.9
9/25/2018 0:16,34.3S,44.9E,40.7,12.5,-11,2.5,-5.5,5.30E+10,0.17
9/20/2018 18:29,67.3S,75.1E,,11.1,-5.6,-7.9,5.5,8.30E+10,0.26
8/27/2018 4:36,1.7S,141.4E,33,16.1,9.8,-9.6,-8.4,2.40E+10,0.086
7/25/2018 21:55,76.9N,69.0W,43.3,24.4,20.4,12.9,-3.8,8.77E+11,2.1
